//x,y,z,class
0,0,5,0
0,0.6266661678215213,4.9605735065723895,0
0,1.243449435824274,4.842915805643155,0
0,1.8406227634233898,4.648882429441256,0
0,2.4087683705085765,4.381533400219318,0
0,2.938926261462366,4.045084971874737,0
0,3.422735529643443,3.644843137107058,0
0,3.8525662138789456,3.187119948743449,0
0,4.221639627510075,2.6791339748949836,0
0,4.524135262330097,2.128896457825364,0
0,4.755282581475767,1.5450849718747384,0
0,4.911436253643443,0.9369065729286247,0
0,4.990133642141358,0.31395259764656874,0
0,4.990133642141358,-0.3139525976465648,0
0,4.911436253643443,-0.9369065729286209,0
0,4.755282581475769,-1.5450849718747348,0
0,4.524135262330098,-2.1288964578253617,0
0,4.221639627510076,-2.6791339748949823,0
0,3.852566213878946,-3.1871199487434487,0
0,3.4227355296434423,-3.6448431371070584,0
0,2.938926261462364,-4.045084971874738,0
0,2.4087683705085743,-4.381533400219319,0
0,1.8406227634233865,-4.648882429441258,0
0,1.2434494358242698,-4.842915805643156,0
0,0.626666167821516,-4.9605735065723895,0
0,-5,0
0,-0.6266661678215281,-4.960573506572389,0
0,-1.2434494358242816,-4.842915805643154,0
0,-1.840622763423398,-4.648882429441254,0
0,-2.4087683705085845,-4.381533400219314,0
0,-2.938926261462374,-4.045084971874731,0
0,-3.422735529643451,-3.64484313710705,0
0,-3.8525662138789523,-3.187119948743441,0
0,-4.221639627510082,-2.679133974894974,0
0,-4.524135262330102,-2.128896457825353,0
0,-4.755282581475772,-1.5450849718747253,0
0,-4.911436253643446,-0.9369065729286101,0
0,-4.990133642141359,-0.3139525976465527,0
0,-4.990133642141357,0.3139525976465819,0
0,-4.911436253643441,0.9369065729286388,0
0,-4.755282581475763,1.545084971874753,0
0,-4.52413526233009,2.128896457825379,0
0,-4.221639627510065,2.6791339748949987,0
0,-3.8525662138789336,3.187119948743464,0
0,-3.4227355296434285,3.6448431371070713,0
0,-2.9389262614623486,4.04508497187475,0
0,-2.4087683705085574,4.381533400219329,0
0,-1.8406227634233685,4.648882429441265,0
0,-1.243449435824251,4.842915805643162,0
0,-0.6266661678214969,4.960573506572392,0
0,3,0,1
0.3759997006929128,2.9763441039434335,0,1
0.7460696614945643,2.9057494833858932,0,1
1.104373658054034,2.789329457664754,0,1
1.445261022305146,2.628920040131591,0,1
1.7633557568774194,2.4270509831248424,0,1
2.0536413177860657,2.1869058822642344,0,1
2.3115397283273675,1.9122719692460697,0,1
2.532983776506045,1.6074803849369903,0,1
2.7144811573980583,1.2773378746952184,0,1
2.8531695488854605,0.927050983124843,0,1
2.9468617521860656,0.5621439437571748,0,1
2.9940801852848145,0.18837155858794125,0,1
2.9940801852848145,-0.18837155858793886,0,1
2.946861752186066,-0.5621439437571726,0,1
2.8531695488854614,-0.9270509831248408,0,1
2.714481157398059,-1.2773378746952169,0,1
2.5329837765060454,-1.6074803849369892,0,1
2.311539728327368,-1.9122719692460692,0,1
2.0536413177860657,-2.186905882264235,0,1
1.7633557568774183,-2.4270509831248432,0,1
1.4452610223051445,-2.6289200401315913,0,1
1.104373658054032,-2.789329457664755,0,1
0.7460696614945619,-2.905749483385894,0,1
0.3759997006929096,-2.976344103943434,0,1
0,-3,0,1
-0.3759997006929169,-2.976344103943433,0,1
-0.7460696614945689,-2.9057494833858923,0,1
-1.1043736580540386,-2.7893294576647523,0,1
-1.4452610223051507,-2.628920040131588,0,1
-1.7633557568774245,-2.427050983124839,0,1
-2.053641317786071,-2.18690588226423,0,1
-2.3115397283273715,-1.9122719692460646,0,1
-2.532983776506049,-1.6074803849369843,0,1
-2.7144811573980614,-1.2773378746952115,0,1
-2.8531695488854627,-0.9270509831248352,0,1
-2.9468617521860674,-0.562143943757166,0,1
-2.9940801852848153,-0.18837155858793164,0,1
-2.994080185284814,0.18837155858794916,0,1
-2.9468617521860643,0.5621439437571834,0,1
-2.8531695488854574,0.9270509831248519,0,1
-2.714481157398054,1.2773378746952275,0,1
-2.5329837765060392,1.6074803849369994,0,1
-2.31153972832736,1.9122719692460781,0,1
-2.0536413177860573,2.1869058822642424,0,1
-1.763355756877409,2.4270509831248495,0,1
-1.4452610223051343,2.628920040131597,0,1
-1.104373658054021,2.7893294576647594,0,1
-0.7460696614945506,2.905749483385897,0,1
-0.3759997006928981,2.9763441039434353,0,1
